iter	MultiClass
0	0.9447156711
1	0.890176478
2	0.866265877
3	0.8575161767
4	0.8512588903
5	0.8425212695
6	0.8394419429
7	0.8350956882
8	0.8316685667
9	0.8275965099
10	0.8247740882
11	0.8219560252
12	0.8167120996
13	0.8126897971
14	0.8094833568
15	0.8064699166
16	0.8020764018
17	0.7982193315
18	0.794985439
19	0.7909819447
20	0.7878371222
21	0.7841521498
22	0.7800928954
23	0.776146442
24	0.77205795
25	0.7675015548
26	0.7652450695
27	0.7620911388
28	0.7592756353
29	0.7556332339
30	0.7528885798
31	0.7500876844
32	0.7465141795
33	0.742618388
34	0.7400613482
35	0.7379009972
36	0.7358654381
37	0.7263234776
38	0.7220126128
39	0.7188121395
40	0.7162070299
41	0.7134936168
42	0.7104669849
43	0.7088364102
44	0.7061820398
45	0.7042296211
46	0.7022580405
47	0.7001367702
48	0.6979740211
49	0.6946109363
50	0.6927014894
51	0.6894290068
52	0.68659417
53	0.6843494041
54	0.6827419504
55	0.6809639421
56	0.6773266702
57	0.6753903151
58	0.6731447574
59	0.6700514619
60	0.6675781538
61	0.6665055906
62	0.6639693129
63	0.6614244556
64	0.6584470465
65	0.6552064068
66	0.6538244046
67	0.6509790201
68	0.6481188418
69	0.6450391965
