iter	Passed	Remaining
0	11	797
1	26	885
2	37	827
3	46	762
4	58	765
5	71	758
6	84	764
7	94	730
8	115	783
9	124	744
10	133	713
11	141	683
12	159	700
13	178	714
14	227	833
15	238	805
16	250	781
17	261	755
18	273	734
19	284	711
20	304	710
21	316	691
22	327	669
23	338	649
24	352	633
25	363	615
26	383	611
27	394	592
28	415	586
29	427	569
30	437	550
31	448	532
32	460	515
33	476	504
34	492	492
35	508	480
36	524	467
37	535	450
38	546	434
39	557	418
40	573	405
41	587	391
42	600	377
43	613	362
44	627	348
45	635	331
46	644	315
47	652	299
48	661	283
49	679	271
50	688	256
51	696	241
52	705	226
53	713	211
54	722	196
55	739	184
56	747	170
57	756	156
58	765	142
59	772	128
60	787	116
61	795	102
62	819	91
63	826	77
64	835	64
65	843	51
66	851	38
67	860	25
68	868	12
69	882	0
